date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2025-05-04,298,1×DC350,0,0,0,1,117.8,13.27,1355.34,0.0,1486.41,210.0,0.0,1,1,0,1,0,100.0,91.7,94.5,103.1,0.0,0.0,optimal,False
2025-08-16,299,1×DC350,0,0,0,1,117.8,12.76,1355.34,0.0,1485.89,210.0,0.0,1,1,0,1,0,100.0,92.6,94.5,102.1,0.0,0.0,optimal,False
2025-07-12,300,1×DC50 + 1×DC150,0,1,1,0,95.2,48.6,968.1,0.0,1111.9,150.0,0.0,2,2,0,2,0,100.0,334.5,360.0,107.6,0.0,0.0328,optimal,False
2025-06-28,301,1×DC150,0,0,1,0,63.01,77.46,968.1,0.0,1108.56,150.0,0.0,4,4,0,4,0,100.0,503.2,573.8,114.0,0.2,0.0087,optimal,False
2025-07-19,302,1×L2 + 1×DC150,1,0,1,0,71.36,24.17,968.1,0.0,1063.63,150.0,0.0,2,2,0,2,0,100.0,154.5,179.0,115.9,0.3,0.0076,optimal,False
2025-05-03,303,1×DC150,0,0,1,0,63.01,14.22,968.1,0.0,1045.33,150.0,0.0,1,1,0,1,0,100.0,82.9,101.2,122.1,0.0,0.0,optimal,False
2025-06-22,304,1×DC150,0,0,1,0,63.01,13.67,968.1,0.0,1044.78,150.0,0.0,1,1,0,1,0,100.0,98.1,101.2,103.2,0.0,0.0,optimal,False
2026-02-14,305,1×DC150,0,0,1,0,63.01,6.66,968.1,0.0,1037.77,150.0,0.0,1,1,0,1,0,100.0,65.6,67.5,102.9,0.0,0.0,optimal,False
2025-07-06,306,1×DC50,0,1,0,0,32.19,34.93,322.7,0.0,389.82,50.0,0.0,1,1,0,1,0,100.0,258.2,258.8,100.2,0.1,0.0,optimal,False
2025-08-17,307,1×DC50,0,1,0,0,32.19,34.93,322.7,0.0,389.82,50.0,0.0,1,1,0,1,0,100.0,249.0,258.8,103.9,0.2,0.0,optimal,False
2026-03-31,308,1×DC50,0,1,0,0,32.19,23.31,322.7,0.0,378.2,50.0,0.0,1,1,0,1,0,100.0,233.5,236.2,101.2,0.1,0.0,optimal,False
2025-08-31,309,1×L2,1,0,0,0,8.36,11.66,123.92,0.0,143.94,19.2,0.0,1,1,0,1,0,100.0,83.6,86.4,103.3,0.2,0.0,optimal,False
2026-04-18,310,1×L2,1,0,0,0,8.36,11.08,123.92,0.0,143.35,19.2,0.0,1,1,0,1,0,100.0,109.6,112.3,102.5,0.5,0.0,optimal,False
